2025-07-11 14:21:28,163 - INFO - Train: [112/200][2/2]	eta 0:00:02	loss 0.0169	
2025-07-11 14:21:28,176 - INFO - Train: [113/200][1/2]	eta 0:00:02	loss 0.0366	
2025-07-11 14:21:28,184 - INFO - Train: [113/200][2/2]	eta 0:00:02	loss 0.0194	
2025-07-11 14:21:28,197 - INFO - Train: [114/200][1/2]	eta 0:00:02	loss 0.0356	
2025-07-11 14:21:28,205 - INFO - Train: [114/200][2/2]	eta 0:00:02	loss 0.0546	
2025-07-11 14:21:28,218 - INFO - Train: [115/200][1/2]	eta 0:00:02	loss 0.0367	
2025-07-11 14:21:28,226 - INFO - Train: [115/200][2/2]	eta 0:00:02	loss 0.0377	
2025-07-11 14:21:28,238 - INFO - Train: [116/200][1/2]	eta 0:00:02	loss 0.0378	
2025-07-11 14:21:28,247 - INFO - Train: [116/200][2/2]	eta 0:00:02	loss 0.0118	
2025-07-11 14:21:28,260 - INFO - Train: [117/200][1/2]	eta 0:00:02	loss 0.0350	
2025-07-11 14:21:28,268 - INFO - Train: [117/200][2/2]	eta 0:00:02	loss 0.0795	
2025-07-11 14:21:28,280 - INFO - Train: [118/200][1/2]	eta 0:00:02	loss 0.0353	
2025-07-11 14:21:28,288 - INFO - Train: [118/200][2/2]	eta 0:00:02	loss 0.0291	
2025-07-11 14:21:28,300 - INFO - Train: [119/200][1/2]	eta 0:00:02	loss 0.0353	
2025-07-11 14:21:28,308 - INFO - Train: [119/200][2/2]	eta 0:00:02	loss 0.0005	
2025-07-11 14:21:28,321 - INFO - Train: [120/200][1/2]	eta 0:00:02	loss 0.0337	
2025-07-11 14:21:28,329 - INFO - Train: [120/200][2/2]	eta 0:00:01	loss 0.0557	
2025-07-11 14:21:28,342 - INFO - Train: [121/200][1/2]	eta 0:00:01	loss 0.0350	
2025-07-11 14:21:28,349 - INFO - Train: [121/200][2/2]	eta 0:00:01	loss 0.0137	
2025-07-11 14:21:28,361 - INFO - Train: [122/200][1/2]	eta 0:00:01	loss 0.0350	
2025-07-11 14:21:28,368 - INFO - Train: [122/200][2/2]	eta 0:00:01	loss 0.0107	
2025-07-11 14:21:28,380 - INFO - Train: [123/200][1/2]	eta 0:00:01	loss 0.0346	
2025-07-11 14:21:28,388 - INFO - Train: [123/200][2/2]	eta 0:00:01	loss 0.0219	
2025-07-11 14:21:28,400 - INFO - Train: [124/200][1/2]	eta 0:00:01	loss 0.0351	
2025-07-11 14:21:28,407 - INFO - Train: [124/200][2/2]	eta 0:00:01	loss 0.0062	
2025-07-11 14:21:28,420 - INFO - Train: [125/200][1/2]	eta 0:00:01	loss 0.0345	
2025-07-11 14:21:28,427 - INFO - Train: [125/200][2/2]	eta 0:00:01	loss 0.0271	
2025-07-11 14:21:28,439 - INFO - Train: [126/200][1/2]	eta 0:00:01	loss 0.0318	
2025-07-11 14:21:28,447 - INFO - Train: [126/200][2/2]	eta 0:00:01	loss 0.1142	
2025-07-11 14:21:28,460 - INFO - Train: [127/200][1/2]	eta 0:00:01	loss 0.0347	
2025-07-11 14:21:28,467 - INFO - Train: [127/200][2/2]	eta 0:00:01	loss 0.0178	
2025-07-11 14:21:28,479 - INFO - Train: [128/200][1/2]	eta 0:00:01	loss 0.0344	
2025-07-11 14:21:28,487 - INFO - Train: [128/200][2/2]	eta 0:00:01	loss 0.0260	
2025-07-11 14:21:28,499 - INFO - Train: [129/200][1/2]	eta 0:00:01	loss 0.0350	
2025-07-11 14:21:28,513 - INFO - Train: [129/200][2/2]	eta 0:00:01	loss 0.0098	
2025-07-11 14:21:28,529 - INFO - Train: [130/200][1/2]	eta 0:00:01	loss 0.0353	
2025-07-11 14:21:28,536 - INFO - Train: [130/200][2/2]	eta 0:00:01	loss 0.0047	
2025-07-11 14:21:28,549 - INFO - Train: [131/200][1/2]	eta 0:00:01	loss 0.0358	
2025-07-11 14:21:28,556 - INFO - Train: [131/200][2/2]	eta 0:00:01	loss 0.0006	
2025-07-11 14:21:28,569 - INFO - Train: [132/200][1/2]	eta 0:00:01	loss 0.0358	
2025-07-11 14:21:28,576 - INFO - Train: [132/200][2/2]	eta 0:00:01	loss 0.0132	
2025-07-11 14:21:28,589 - INFO - Train: [133/200][1/2]	eta 0:00:01	loss 0.0360	
2025-07-11 14:21:28,596 - INFO - Train: [133/200][2/2]	eta 0:00:01	loss 0.0092	
2025-07-11 14:21:28,609 - INFO - Train: [134/200][1/2]	eta 0:00:01	loss 0.0361	
2025-07-11 14:21:28,616 - INFO - Train: [134/200][2/2]	eta 0:00:01	loss 0.0043	
2025-07-11 14:21:28,629 - INFO - Train: [135/200][1/2]	eta 0:00:01	loss 0.0353	
2025-07-11 14:21:28,636 - INFO - Train: [135/200][2/2]	eta 0:00:01	loss 0.0323	
2025-07-11 14:21:28,649 - INFO - Train: [136/200][1/2]	eta 0:00:01	loss 0.0358	
2025-07-11 14:21:28,656 - INFO - Train: [136/200][2/2]	eta 0:00:01	loss 0.0124	
2025-07-11 14:21:28,669 - INFO - Train: [137/200][1/2]	eta 0:00:01	loss 0.0355	
2025-07-11 14:21:28,676 - INFO - Train: [137/200][2/2]	eta 0:00:01	loss 0.0151	
